,Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Year,Region,Standard Error,freedom_categ,happiness_categ
0,Norway,1,7.537000179290769,7.59444482058287,7.47955553799868,1.6164631843566901,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415505,2.27702665328979,2017,,,High,High
1,Denmark,2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816863997,2.31370735168457,2017,,,High,High
2,Iceland,3,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.47554022073745705,0.15352655947208402,2.32271528244019,2017,,,High,High
3,Switzerland,4,7.49399995803833,7.56177242040634,7.42622749567032,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.29054927825927696,0.36700728535652205,2.2767162322998,2017,,,High,High
4,Finland,5,7.468999862670901,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.24548277258873,0.38261154294014,2.4301815032958998,2017,,,High,High
5,Netherlands,6,7.3769998550415,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.47048982977867104,0.282661825418472,2.29480409622192,2017,,,High,High
6,Canada,7,7.31599998474121,7.3844028353691105,7.24759713411331,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,2017,,,High,High
7,New Zealand,8,7.31400012969971,7.3795104418695,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.500005125999451,0.38281670212745705,2.0464563369751,2017,,,High,High
8,Sweden,9,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,2.09753799438477,2017,,,High,High
9,Australia,10,7.28399991989136,7.35665122494102,7.211348614841699,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.47769924998283403,0.301183730363846,2.06521081924438,2017,,,High,High
10,Israel,11,7.212999820709231,7.279853256493809,7.14614638492465,1.3753824234008798,1.37628996372223,0.83840399980545,0.40598860383033797,0.330082654953003,0.0852421000599861,2.80175733566284,2017,,,Medium,High
11,Costa Rica,12,7.0789999961853,7.16811166629195,6.989888326078651,1.10970628261566,1.4164036512374898,0.7595092654228209,0.580131649971008,0.21461322903633104,0.100106589496136,2.89863920211792,2017,,,High,High
12,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.4870972633361799,1.4599449634552,0.8153284192085269,0.567766189575195,0.316472321748734,0.22106036543846105,2.1385064125061004,2017,,,High,High
13,United States,14,6.993000030517581,7.07465674757957,6.91134331345558,1.54625928401947,1.4199205636978103,0.7742866277694699,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223937997,2017,,,High,High
14,Ireland,15,6.9770002365112305,7.043351667523379,6.91064880549908,1.5357066392898602,1.5582311153411899,0.8097826242446899,0.5731103420257571,0.42785832285881,0.29838815331459007,1.77386903762817,2017,,,High,High
15,Germany,16,6.9510002136230495,7.00538156926632,6.89661885797977,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.33626917004585305,0.276731938123703,2.01576995849609,2017,,,High,High
16,Belgium,17,6.89099979400635,6.95582075044513,6.8261788375675705,1.4637807607650801,1.4623126983642598,0.8180918693542479,0.5397707223892211,0.23150333762168898,0.251343131065369,2.12421035766602,2017,,,High,High
17,Luxembourg,18,6.86299991607666,6.923686099871991,6.80231373228133,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,2017,,,High,High
18,United Kingdom,19,6.71400022506714,6.78379176110029,6.64420868903399,1.44163393974304,1.4964600801467902,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.7041435241699199,2017,,,High,High
19,Chile,20,6.65199995040894,6.739250560104849,6.5647493407130195,1.25278460979462,1.28402495384216,0.8194797039031979,0.376895278692245,0.3266624212265011,0.0822879821062088,2.5095858573913596,2017,,,Medium,High
20,United Arab Emirates,21,6.6479997634887695,6.72204730376601,6.57395222321153,1.6263433694839498,1.2664102315902699,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802,2017,,,High,High
21,Brazil,22,6.6350002288818395,6.725469501614571,6.5445309561491,1.1073532104492199,1.43130600452423,0.6165523529052729,0.437453746795654,0.16234989464282998,0.11109276115894301,2.7692670822143595,2017,,,High,High
